1,Fiction,"Literary works based on imagination, including various genres and types.",en
2,History,The study and recording of past events and people.,en
3,Science,"A systematic and organized body of knowledge about the natural, social, and formal world.",en
4,Art,The expression or application of human creative skill and imagination.,en
5,Technology,The application of scientific knowledge for practical purposes.,en
6,小说,基于想象力的文学作品，包括各种流派和类型。,zh
7,历史,对过去事件和人物的研究与记录。,zh
8,科学,关于自然、社会和形式世界的系统化知识体系。,zh
9,艺术,人类创造性技能和想象力的表达或应用。,zh
10,技术,科学知识在实际用途中的应用。,zh
12,Biography,"Real-life stories of people, usually about their achievements, challenges, and personal growth.",en
13,Health & Fitness,"Books focusing on physical well-being, including fitness, nutrition, and mental health practices.",en
14,Travel & Adventure,"Books that explore different places, cultures, and thrilling adventures around the world.",en
15,Cooking & Food,"Books related to cooking techniques, recipes, and the exploration of various cuisines and food cultures.",en
11,Sports,"Books focusing on athletic activities, sportsmanship, notable athletes, and the spirit of competition.",en
16,Comics,Comics,en
